Departamento,Solicitud
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Problema con el pago de matrícula (comprobante #68870)
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por deporte competitivo
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Derecho
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Quiero cancelar la materia Ética
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificación de horas en deporte universitario
Registro y control,Quiero cambiar de grupo la materia Física II
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Quiero cambiar de grupo la materia Álgebra Lineal
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,Solicitud de beca por deporte competitivo
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Registro y control,Quiero cambiar de grupo la materia Álgebra Lineal
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Certificado de notas 2021-2 para trabajo
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de matrícula (comprobante #64450)
Administrativo,Certificado de notas 2017-2 para beca
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Solicitud de beca por proyecto de investigación
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Problema con el pago de matrícula (comprobante #94646)
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cancelar la materia Álgebra Lineal
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Certificado de notas 2022-2 para trabajo
Administrativo,Certificación de horas en voluntariado
Registro y control,Inscripción extemporánea a Cálculo I
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Certificado de notas 2021-1 para beca
Apoyo financiero,Problema con el pago de matrícula (comprobante #22685)
Apoyo financiero,Problema con el pago de laboratorios (comprobante #40423)
Registro y control,Aplazar semestre por situación familiar
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de laboratorios (comprobante #45905)
Administrativo,Certificado de notas 2018-2 para beca
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cancelar la materia Química Orgánica
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Inscripción extemporánea a Ética
Administrativo,Duplicado de diploma de Medicina
Registro y control,Homologar Física II cursada en U Javeriana
Registro y control,Inscripción extemporánea a Programación
Registro y control,Homologar Programación cursada en U Nacional
Registro y control,Homologar Cálculo I cursada en U Javeriana
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Álgebra Lineal cursada en U externado
Registro y control,Quiero cancelar la materia Ética
Administrativo,Certificado de notas 2022-2 para visado
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Aplazar semestre por situación familiar
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificación de horas en deporte universitario
Administrativo,Certificado de notas 2016-2 para beca
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Apoyo financiero,Problema con el pago de matrícula (comprobante #29630)
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificación de horas en grupo de teatro
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Solicitud de beca por deporte competitivo
Apoyo financiero,Solicitud de beca por excelencia académica
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Certificado de notas 2022-1 para beca
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Homologar Física II cursada en U del Valle
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Certificación de horas en semillero de investigación
Administrativo,Certificación de horas en deporte universitario
Registro y control,Homologar Cálculo I cursada en U Javeriana
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Duplicado de diploma de Ingeniería
Apoyo financiero,Solicitud de beca por dificultades económicas
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Ingeniería
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificación de horas en deporte universitario
Registro y control,Homologar Programación cursada en U externado
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Duplicado de diploma de Derecho
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Homologar Álgebra Lineal cursada en U externado
Apoyo financiero,Solicitud de beca por deporte competitivo
Registro y control,Quiero cambiar de grupo la materia Física II
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Inscripción extemporánea a Programación
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Homologar Física II cursada en U del Valle
Registro y control,Homologar Álgebra Lineal cursada en U Javeriana
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Quiero cancelar la materia Programación
Registro y control,Homologar Ética cursada en U del Valle
Administrativo,Certificación de horas en grupo de teatro
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Certificado de notas 2015-1 para trabajo
Registro y control,Inscripción extemporánea a Álgebra Lineal
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Homologar Programación cursada en U Nacional
Registro y control,Quiero cambiar de grupo la materia Cálculo I
Registro y control,Inscripción extemporánea a Álgebra Lineal
Registro y control,Quiero cambiar de grupo la materia Programación
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Homologar Ética cursada en U de los Andes
Registro y control,Quiero cancelar la materia Álgebra Lineal
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Duplicado de diploma de Medicina
Registro y control,Quiero cancelar la materia Química Orgánica
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Quiero cancelar la materia Química Orgánica
Apoyo financiero,Problema con el pago de matrícula (comprobante #70500)
Registro y control,Aplazar semestre por problemas de salud
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Certificado de notas 2015-1 para visado
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificación de horas en deporte universitario
Registro y control,Homologar Ética cursada en U Nacional
Administrativo,Certificado de notas 2017-1 para visado
Registro y control,Quiero cancelar la materia Química Orgánica
Apoyo financiero,Solicitud de beca por proyecto de investigación
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,Reclamo: cobro duplicado en mi factura
